,BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA,경도,위도
95,1001,M,197256,452017,1.11402E+18,172.88,11140520,160158,197250,452010,197262,452025,86.44,126.9668371,37.57043666
96,1003,M,199046,452023,1.11401E+18,176.06,11140550,206286,199035,452017,199056,452028,176.06,126.987099,37.57049444
97,1003,M,199445,451630,1.11402E+18,90.56,11140605,206993,199441,451625,199449,451635,45.28,126.9916158,37.56695391
98,1003,M,199523,451659,1.11402E+18,181.22,11140605,206980,199518,451653,199527,451667,90.61,126.9924987,37.56721525
99,1003,M,199164,452046,1.11401E+18,119.02,11140550,206688,199159,452041,199168,452051,59.51,126.9884347,37.57070179
100,1001,M,199372,452064,1.11402E+18,177.37,11140605,207229,199366,452051,199380,452073,177.37,126.9907891,37.57086415
101,1001,M,199542,451694,1.11402E+18,54.06,11140605,206980,199536,451690,199549,451699,54.06,126.9927137,37.5675306
102,1003,M,199556,451701,1.11401E+18,106.14,11140590,207162,199551,451695,199561,451707,53.07,126.9928722,37.56759368
103,1001,M,199568,451662,1.11401E+18,76.52,11140590,207162,199561,451649,199575,451672,76.52,126.993008,37.5672423
104,1000,M,201770,452108,1.11402E+18,73.83,11140670,208235,201763,452102,201777,452114,73.83,127.0179336,37.57125926
105,1001,M,201767,452116,1.11402E+18,67.04,11140670,208235,201760,452110,201773,452122,67.04,127.0178996,37.57133135
106,1001,M,201780,452074,1.11402E+18,65.76,11140670,207940,201775,452069,201785,452079,65.76,127.0180467,37.57095291
107,1001,M,199550,452078,1.11402E+18,277.26,11140605,207221,199543,452063,199560,452089,277.26,126.992804,37.5709904
108,1003,M,199653,452075,1.11402E+18,218.74,11140605,207220,199643,452065,199660,452087,218.74,126.9939699,37.57096342
109,1003,M,199658,452042,1.11402E+18,133.94,11140605,207220,199652,452037,199663,452046,66.97,126.9940265,37.5706661
110,1001,M,199650,452040,1.11402E+18,28.94,11140605,207220,199647,452036,199653,452046,28.94,126.993936,37.57064808
111,1000,M,199671,452024,1.11402E+18,66.07,11140605,207220,199664,452020,199676,452028,66.07,126.9941737,37.57050393
112,1000,M,199670,452016,1.11402E+18,78.78,11140605,207220,199664,452012,199676,452021,78.78,126.9941624,37.57043185
113,1000,M,199564,451661,1.11401E+18,47.75,11140590,207162,199558,451649,199569,451672,47.75,126.9929628,37.56723329
114,1001,M,199592,451610,1.11401E+18,10.51,11140590,207051,199588,451608,199595,451612,10.51,126.9932797,37.5667738
115,1003,M,199158,451596,1.11402E+18,77.36,11140605,206995,199154,451592,199162,451600,38.68,126.9883673,37.56664734
116,1003,M,201826,452063,1.11402E+18,153.9,11140670,207942,201820,452059,201832,452068,76.95,127.0185674,37.57085371
117,1002,M,201841,452095,1.11402E+18,141.86,11140670,207933,201833,452091,201849,452101,70.93,127.0187372,37.571142
118,1001,M,201874,452062,1.11402E+18,14.92,11140670,207945,201872,452059,201877,452065,14.92,127.0191107,37.57084461
119,1001,M,201869,452062,1.11402E+18,32.18,11140670,207943,201865,452059,201873,452066,32.18,127.0190541,37.57084462
120,1001,M,201880,452063,1.11402E+18,9.1,11140670,207945,201878,452060,201883,452065,9.1,127.0191786,37.57085361
121,1003,M,201887,452061,1.11402E+18,170.64,11140670,207945,201881,452057,201893,452064,42.66,127.0192579,37.57083558
122,1003,M,199686,452097,1.11402E+18,47.38,11140605,207218,199681,452090,199689,452102,47.38,126.9943435,37.57116166
123,1001,M,199692,452096,1.11402E+18,87.18,11140605,207218,199688,452088,199697,452103,87.18,126.9944114,37.57115265
124,1003,M,199724,452102,1.11402E+18,48.94,11140605,207218,199719,452097,199728,452107,48.94,126.9947736,37.57120672
125,1003,M,199761,452109,1.11402E+18,19.44,11140605,207218,199758,452106,199764,452112,19.44,126.9951924,37.5712698
126,1003,M,199768,452112,1.11402E+18,35.76,11140605,207218,199762,452109,199776,452114,17.88,126.9952717,37.57129683
127,1001,M,199788,452114,1.11402E+18,22.78,11140605,207218,199784,452111,199792,452116,22.78,126.9954981,37.57131486
128,1003,M,199676,451613,1.11401E+18,47.48,11140590,207156,199674,451609,199679,451617,23.74,126.9942305,37.56680087
129,1003,M,199669,451596,1.11401E+18,54.07,11140590,207156,199662,451592,199675,451600,54.07,126.9941513,37.5666477
130,1003,M,199677,451621,1.11401E+18,64.52,11140590,207156,199674,451617,199681,451625,32.26,126.9942418,37.56687295
131,1003,M,199141,451762,1.11402E+18,251.52,11140605,206975,199135,451756,199147,451768,83.84,126.9881747,37.56814296
132,1001,M,201923,452083,1.11402E+18,56.28,11140670,207933,201916,452080,201929,452088,56.28,127.0196654,37.57103372
133,1001,M,201936,452078,1.11402E+18,30.48,11140670,207933,201929,452075,201942,452080,30.48,127.0198126,37.57098865
134,1003,M,201944,452043,1.11402E+18,77.32,11140670,207945,201939,452039,201947,452048,38.66,127.019903,37.57067328
135,1001,M,201935,452043,1.11402E+18,19.68,11140670,207945,201931,452039,201938,452046,19.68,127.0198012,37.5706733
136,1001,M,201951,452033,1.11402E+18,39.16,11140670,207945,201948,452027,201955,452038,39.16,127.0199822,37.57058317
137,1001,M,201927,452041,1.11402E+18,71,11140670,207945,201921,452036,201932,452047,71,127.0197106,37.5706553
138,1001,M,201938,452025,1.11402E+18,49.7,11140670,207945,201932,452019,201943,452031,49.7,127.0198351,37.57051112
139,1001,M,200423,451102,1.11401E+18,70.68,11140580,207073,200418,451097,200427,451108,70.68,127.0026855,37.56219683
140,1001,M,200414,451102,1.11401E+18,68.43,11140580,207073,200409,451096,200418,451108,68.43,127.0025837,37.56219683
