BDTYP_CD,BUL_DPN_SE,X_AXIS,Y_AXIS,HOUS_ID,TOTAL_AREA,ADMI_CD,BLK_CD,XMIN,YMIN,XMAX,YMAX,SHAPE_AREA
01003,M,199658,452042,1114015700001880001,133.94,11140605,207220,199652,452037,199663,452046,66.97
01001,M,199650,452040,1114015700001880001,28.94,11140605,207220,199647,452036,199653,452046,28.94
01000,M,199671,452024,1114015700001050000,66.07,11140605,207220,199664,452020,199676,452028,66.07
01000,M,199670,452016,1114015700001060000,78.78,11140605,207220,199664,452012,199676,452021,78.78
01000,M,199564,451661,1114013400000960003,47.75,11140590,207162,199558,451649,199569,451672,47.75
01001,M,199592,451610,1114013400001000000,10.51,11140590,207051,199588,451608,199595,451612,10.51
01003,M,199158,451596,1114016100000470010,77.36,11140605,206995,199154,451592,199162,451600,38.68
01003,M,201826,452063,1114016500005140000,153.9,11140670,207942,201820,452059,201832,452068,76.95
01002,M,201841,452095,1114016500012060000,141.86,11140670,207933,201833,452091,201849,452101,70.93
01001,M,201874,452062,1114016500012190000,14.92,11140670,207945,201872,452059,201877,452065,14.92
01001,M,201869,452062,1114016500012190000,32.18,11140670,207943,201865,452059,201873,452066,32.18
01001,M,201880,452063,1114016500013870000,9.1,11140670,207945,201878,452060,201883,452065,9.1
01003,M,201887,452061,1114016500013880000,170.64,11140670,207945,201881,452057,201893,452064,42.66
01003,M,199686,452097,1114015200001450001,47.38,11140605,207218,199681,452090,199689,452102,47.38
01001,M,199692,452096,1114015200001450006,87.18,11140605,207218,199688,452088,199697,452103,87.18
01003,M,199724,452102,1114015200001420006,48.94,11140605,207218,199719,452097,199728,452107,48.94
01003,M,199761,452109,1114015200001400002,19.44,11140605,207218,199758,452106,199764,452112,19.44
01003,M,199768,452112,1114015200001380002,35.76,11140605,207218,199762,452109,199776,452114,17.88
01001,M,199788,452114,1114015200001360003,22.78,11140605,207218,199784,452111,199792,452116,22.78
01003,M,199676,451613,1114013400001350074,47.48,11140590,207156,199674,451609,199679,451617,23.74
01003,M,199669,451596,1114013400001350042,54.07,11140590,207156,199662,451592,199675,451600,54.07
01003,M,199677,451621,1114013400001350008,64.52,11140590,207156,199674,451617,199681,451625,32.26
01003,M,199141,451762,1114016100000050000,251.52,11140605,206975,199135,451756,199147,451768,83.84
01001,M,201923,452083,1114016500014100000,56.28,11140670,207933,201916,452080,201929,452088,56.28
01001,M,201936,452078,1114016500014160000,30.48,11140670,207933,201929,452075,201942,452080,30.48
01003,M,201944,452043,1114016500011720000,77.32,11140670,207945,201939,452039,201947,452048,38.66
01001,M,201935,452043,1114016500011760000,19.68,11140670,207945,201931,452039,201938,452046,19.68
01001,M,201951,452033,1114016500011700000,39.16,11140670,207945,201948,452027,201955,452038,39.16
01001,M,201927,452041,1114016500011760000,71,11140670,207945,201921,452036,201932,452047,71
01001,M,201938,452025,1114016500011690000,49.7,11140670,207945,201932,452019,201943,452031,49.7
01001,M,200423,451102,1114014400001890030,70.68,11140580,207073,200418,451097,200427,451108,70.68
01001,M,200414,451102,1114014400001890026,68.43,11140580,207073,200409,451096,200418,451108,68.43
01003,M,200419,451090,1114014400001890011,260.58,11140580,207073,200411,451084,200426,451096,130.29
01003,M,200400,451089,1114014400001890014,302.72,11140580,207073,200392,451080,200410,451095,151.36
01003,M,200405,451102,1114014400001890021,166.26,11140580,207073,200400,451095,200410,451108,83.13
01003,M,200393,451113,1114014400001890022,106.92,11140580,207073,200388,451108,200397,451118,53.46
01003,M,200338,451107,1114014400001930005,299.76,11140580,207073,200333,451098,200344,451116,149.88
01003,M,200315,451106,1114014400001900006,307.26,11140580,207073,200310,451099,200320,451114,102.42
02002,M,200250,451032,1114014400001900030,599.5,11140580,207120,200234,451020,200267,451044,299.75
02002,M,200262,451021,1114014400001900030,853.2,11140580,207120,200239,451006,200284,451036,426.6
02003,M,200287,451119,1114014400001910008,633.12,11140580,207073,200278,451111,200297,451126,158.28
01003,M,200292,451135,1114014400001930010,404.54,11140580,207073,200281,451128,200302,451143,202.27
02003,M,200295,451227,1114014400001860205,792.2,11140580,207097,200287,451216,200303,451238,198.05
02003,M,200310,451230,1114014400001860032,850.92,11140580,207097,200300,451221,200319,451238,212.73
01003,M,200218,451323,1114014400001740000,105.32,11140580,207094,200214,451318,200222,451328,52.66
01001,M,200166,451449,1114014400001730026,10.45,11140580,207078,200164,451446,200169,451451,10.45
01001,M,200167,451453,1114014400001730027,29.02,11140580,207078,200164,451450,200169,451455,14.51
01003,M,200156,451452,1114014400001730035,24.26,11140580,207078,200153,451449,200159,451455,12.13
01001,M,200135,451459,1114014400001730005,36.97,11140580,207078,200130,451455,200141,451462,36.97
01001,M,200275,451476,1114014700001080000,23.87,11140590,207199,200270,451472,200278,451479,23.87
01001,M,200278,451485,1114014700001070000,61.01,11140590,207199,200272,451479,200285,451490,61.01
