관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,WGS84위도,WGS84경도
서울특별시 중구청,서울특별시 중구 동호로11라길 13 (신당동),서울특별시 중구 다산동 432-518,생활방범,37.5522,127.0067
서울특별시 중구청,서울특별시 중구 동호로11마길 20-14 (신당동),서울특별시 중구 다산동 432-521,생활방범,37.5511,127.0059
서울특별시 중구청,서울특별시 중구 다산로 67-5 (신당동),서울특별시 중구 다산동 432-710,생활방범,37.5506,127.0072
서울특별시 중구청,서울특별시 중구 동호로15가길 33-1 (신당동),서울특별시 중구 다산동 432-762,생활방범,37.5548,127.0071
서울특별시 중구청,서울특별시 중구 동호로17길 261 (신당동),서울특별시 중구 다산동 432-1696,생활방범,37.5491,127.0058
서울특별시 중구청,서울특별시 중구 동호로11마길 52 (신당동),서울특별시 중구 다산동 432-1976,생활방범,37.5507,127.0050
서울특별시 중구청,서울특별시 중구 동호로11바길 42-1 (신당동),서울특별시 중구 다산동 432-2013,생활방범,37.5503,127.0055
서울특별시 중구청,서울특별시 중구 동호로17길 123 (신당동),서울특별시 중구 다산동 432-2292,생활방범,37.5538,127.0045
서울특별시 중구청,서울특별시 중구 동호로15길 130-2 (신당동),서울특별시 중구 다산동 432-2824,생활방범,37.5549,127.0080
서울특별시 중구청,서울특별시 중구 동호로17길 65-11 (신당동),서울특별시 중구 다산동 824-8,생활방범,37.5552,127.0067
서울특별시 중구청,서울특별시 중구 동호로8나길 35 (신당동),서울특별시 중구 약수동 309-75,생활방범,37.5523,127.0136
서울특별시 중구청,서울특별시 중구 동호로8가길 43 (신당동),서울특별시 중구 약수동 346-452,생활방범,37.5539,127.0144
서울특별시 중구청,서울특별시 중구 동호로8가길 27,서울특별시 중구 신당동 349-132,생활방범,37.5533,127.0141
서울특별시 중구청,"서울특별시 중구 동호로8라길 8 (신당동, 성광빌라)",서울특별시 중구 약수동 346-489,생활방범,37.5533,127.0146
서울특별시 중구청,서울특별시 중구 동호로8가길 1 (신당동),서울특별시 중구 약수동 349-190,생활방범,37.5536,127.0126
서울특별시 중구청,서울특별시 중구 동호로8나길 15 (신당동),서울특별시 중구 약수동 349-245,생활방범,37.5527,127.0128
서울특별시 중구청,서울특별시 중구 다산로 96 (신당동),서울특별시 중구 약수동 366-106,생활방범,37.5526,127.0092
서울특별시 중구청,서울특별시 중구 동호로7길 26 (신당동),서울특별시 중구 약수동 366-74,생활방범,37.5526,127.0108
