,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,고가도로,지하철네트워크,교량,터널,육교,횡단보도,"공원,녹지",건물내,행정동코드
2991,NODE,POINT(127.01198767129472 37.56120311189749),10176,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615
2992,NODE,POINT(126.99881789604864 37.559648980782434),7550,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
2993,LINK,,0,,LINESTRING(127.00986268370987 37.5592057437335127.01021339573938 37.55915307766744),48588,1011,8360,73227,31.534,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
2994,NODE,POINT(127.01364175324932 37.560474309164924),10175,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,1,,,11140615
2995,LINK,,0,,LINESTRING(126.99819978264809 37.56126925368406126.99814228849496 37.56117313445876),167938,1111,9823,7055,11.816,1114000000,중구,1114013300,충무로5가,0,0,0,0,0,0,0,0,11140590
2996,LINK,,0,,LINESTRING(127.01552484029936 37.56093407149496127.01501316197984 37.56112637434178),25271,1111,8726,8718,49.993,1114000000,중구,1114016200,신당동,0,0,0,0,0,0,0,0,11140615
2997,NODE,POINT(127.01350947749431 37.56027979914668),10174,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,1,,,11140615
2998,NODE,POINT(126.99612414097079 37.56158959822783),7065,0,,0,,,,,1114000000,중구,1114013200,충무로4가,,,,,0,0,,,11140590
2999,LINK,,0,,LINESTRING(127.00501152706799 37.55890854006658127.00384725487551 37.55883077363318),41466,1111,7841,9792,103.232,1114000000,중구,1114014400,장충동2가,0,0,0,0,0,0,0,0,11140570
3000,NODE,POINT(127.01191863431467 37.56094451479095),10173,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,1,,,11140615
3001,NODE,POINT(127.00258378086869 37.55799892634552),7551,0,,0,,,,,1114000000,중구,1114014400,장충동2가,,,,,0,0,,,11140570
