자치구,안심 주소,위도,경도,CCTV 수량,수정 일시
중구,공046보2(신당동294-40,신당동294-40,청구역 쉼터),37.5599,127.0140,1,2022-12-01
중구,공047(태평로1가2-2,태평로1가2-2,무교소공원),37.5690,126.9773,1,2022-12-01
중구,공047보1(태평로1가2-2,태평로1가2-2,무교소공원),37.5690,126.9773,1,2022-12-01
중구,공047보2(태평로1가2-2,태평로1가2-2,무교소공원),37.5690,126.9773,1,2022-12-01
중구,공048(신당동296-15,신당동마을마당),37.5606,127.0135,1,2022-12-01
중구,공048보1(신당동296-15,신당동마을마당),37.5606,127.0135,1,2022-12-01
중구,공049(서소문로89-31,순화동 3-12,순화어린이공원),37.5635,126.9713,1,2022-12-01
중구,공049보1(서소문로89-31,순화동 3-12,순화어린이공원),37.5635,126.9713,1,2022-12-01
중구,공049보2(서소문로89-31,순화동 3-12,순화어린이공원),37.5635,126.9713,1,2022-12-01
중구,공050(서소문로89-31,순화동 3-12,순화어린이공원),37.5634,126.9713,1,2022-12-01
중구,공050보1(서소문로89-31,순화동 3-12,순화어린이공원),37.5634,126.9713,1,2022-12-01
중구,공050보2(서소문로89-31,순화동 3-12,순화어린이공원),37.5634,126.9713,1,2022-12-01
중구,공051(퇴계로 36가길 60 앞,필동 2가 111-2, 엘리베이터 내부,37.5579,126.9955,1,2022-12-01
중구,공051보1(퇴계로 36가길 60 앞,필동 2가 111-2,엘리베이터외부,37.5579,126.9955,1,2022-12-01
중구,공052(삼일대로 340,저동1가 1-14,남대문세무서앞 저동어린이공원),37.5646,126.9885,1,2022-12-01
중구,공052보1(삼일대로 340,저동1가 1-14, 저동어린이공원),37.5646,126.9885,1,2022-12-01
중구,공052보2(삼일대로 340,저동1가 1-14, 저동어린이공원),37.5646,126.9885,1,2022-12-01
중구,공053(명동길 91-1,저동1가 90-10,명동문화공원),37.5647,126.9872,1,2022-12-01
중구,공053보1(명동길 91-1,저동1가 90-10,명동문화공원),37.5647,126.9872,1,2022-12-01
중구,공053보2(명동길 91-1,저동1가 90-10,명동문화공원),37.5647,126.9872,1,2022-12-01
중구,공053보3(명동길 91-1,저동1가 90-10,명동문화공원),37.5647,126.9872,1,2022-12-01
중구,공054(명동길 91-1,저동1가 90-10,명동문화공원),37.5648,126.9872,1,2022-12-01
중구,공054보1(명동길 91-1,저동1가 90-10,명동문화공원)1,37.5648,126.9872,1,2022-12-01
중구,공054보2(명동길 91-1,저동1가 90-10,명동문화공원)1,37.5648,126.9872,1,2022-12-01
중구,공054보3(명동길 91-1,저동1가 90-10,명동문화공원)1,37.5648,126.9872,1,2022-12-01
중구,공055(명동길 91-1,저동1가 90-10,명동문화공원)1,37.5648,126.9871,1,2022-12-01
중구,공055보1(명동길 91-1,저동1가 90-10,명동문화공원)1,37.5648,126.9871,1,2022-12-01
중구,공055보2(명동길 91-1,저동1가 90-10,명동문화공원)1,37.5648,126.9871,1,2022-12-01
중구,공055보3(명동길 91-1,저동1가 90-10,명동문화공원)1,37.5648,126.9871,1,2022-12-01
중구,공056(명동길 91-1,저동1가 90-10,명동문화공원),37.5647,126.9871,1,2022-12-01
중구,공056보1(명동길 91-1,저동1가 90-10,명동문화공원),37.5647,126.9871,1,2022-12-01
중구,공056보2(명동길 91-1,저동1가 90-10,명동문화공원),37.5647,126.9871,1,2022-12-01
중구,공056보3(명동길 91-1,저동1가 90-10,명동문화공원),37.5647,126.9871,1,2022-12-01
중구,공057(다동길13,다동 45-6,다동소공원),37.5680,126.9804,1,2022-12-01
중구,공057보1(다동길13,다동 45-6,다동소공원),37.5680,126.9804,1,2022-12-01
중구,공057보2(다동길13,다동 45-6,다동소공원)(000),37.5680,126.9804,1,2022-12-01
중구,공057보3(다동길13,다동 45-6,다동소공원),37.5680,126.9804,1,2022-12-01
중구,공058(만리재로 21길 9,만리동2가 218-26,만리재 공원),37.5526,126.9629,1,2022-12-01
중구,공058보1(만리재로 21길 9,만리동2가 218-26,만리재 공원),37.5526,126.9629,1,2022-12-01
중구,공058보2(만리재로 21길 9,만리동2가 218-26,만리재 공원),37.5526,126.9629,1,2022-12-01
중구,공059(만리재로 21길 9,만리동2가 218-26,만리재 공원),37.5526,126.9628,1,2022-12-01
중구,공059보1(만리재로 21길 9,만리동2가 218-26,만리재 공원),37.5526,126.9628,1,2022-12-01
중구,공059보2(만리재로 21길 9,만리동2가 218-26,만리재 공원),37.5526,126.9628,1,2022-12-01
중구,공060보1(신당동 837-4,대현산배수지공원),37.5595,127.0206,1,2022-12-01
중구,공061(신당동 837-4,대현산배수지공원),37.5593,127.0208,1,2022-12-01
중구,공061보1(신당동 837-4,대현산배수지공원),37.5593,127.0208,1,2022-12-01
중구,공061보2(신당동 837-4,대현산배수지공원),37.5593,127.0208,1,2022-12-01
중구,공062보1(신당동 837-4,대현산배수지공원),37.5593,127.0209,1,2022-12-01
중구,공062보2(신당동 837-4,대현산배수지공원),37.5593,127.0209,1,2022-12-01
중구,공063(칠패로 5,의주로2가 16-4,서소문역사공원),37.5613,126.9684,1,2022-12-01
중구,공063보1(칠패로 5,의주로2가 16-4,서소문역사공원),37.5613,126.9684,1,2022-12-01
중구,공064보1(칠패로 5,의주로2가 16-4,서소문역사공원),37.5608,126.9686,1,2022-12-01
중구,공065보1(칠패로 5,의주로2가 16-4,서소문역사공원),37.5608,126.9689,1,2022-12-01
중구,공065보2(칠패로 5,의주로2가 16-4,서소문역사공원),37.5608,126.9689,1,2022-12-01
중구,공066보1(칠패로 5,의주로2가 16-4,서소문역사공원),37.5600,126.9693,1,2022-12-01
중구,공066보2(칠패로 5,의주로2가 16-4,서소문역사공원),37.5600,126.9693,1,2022-12-01
중구,공067(칠패로 5,의주로2가 16-4,서소문역사공원),37.5599,126.9703,1,2022-12-01
중구,공067보1(칠패로 5,의주로2가 16-4,서소문역사공원),37.5599,126.9703,1,2022-12-01
중구,공068보1(칠패로 5,의주로2가 16-4,서소문역사공원),37.5602,126.9703,1,2022-12-01
중구,공068보2(칠패로 5,의주로2가 16-4,서소문역사공원),37.5602,126.9703,1,2022-12-01
중구,공069(칠패로 5,의주로2가 16-4,서소문역사공원),37.5604,126.9699,1,2022-12-01
중구,공070보1(칠패로 5,의주로2가 16-4,서소문역사공원),37.5607,126.9697,1,2022-12-01
중구,공070보2(칠패로 5,의주로2가 16-4,서소문역사공원),37.5607,126.9697,1,2022-12-01
중구,공071(칠패로 5,의주로2가 16-4,서소문역사공원),37.5609,126.9696,1,2022-12-01
중구,공071보1(칠패로 5,의주로2가 16-4,서소문역사공원),37.5609,126.9696,1,2022-12-01
중구,공072(세종대로 69-14.서소문동 116,서소문소공원),37.5628,126.9755,1,2022-12-01
중구,공072보1(세종대로 69-14.서소문동 116,서소문소공원),37.5628,126.9755,1,2022-12-01
중구,공073(난계로6길 8,신당5동 산12-75,무학봉근린공원),37.5630,127.0242,1,2022-12-01
중구,공073보1(난계로6길 8,신당5동 산12-75,무학봉근린공원),37.5630,127.0242,1,2022-12-01
중구,공073보2(난계로6길 8,신당5동 산12-75,무학봉근린공원),37.5630,127.0242,1,2022-12-01
중구,공074(난계로6길 8,신당5동 산12-75,무학봉근린공원),37.5627,127.0248,1,2022-12-01
중구,공074보1(난계로6길 8,신당5동 산12-75,무학봉근린공원),37.5627,127.0248,1,2022-12-01
중구,공074보2(난계로6길 8,신당5동 산12-75,무학봉근린공원),37.5627,127.0248,1,2022-12-01
중구,공075(장교동1_삼일대로363_베를린공원),37.5679,126.9867,1,2022-12-01
중구,공075보1(장교동1_삼일대로363_베를린공원),37.5679,126.9867,1,2022-12-01
중구,공076(손기정로 101_손기정체육공원_봉래초교  정문 옆),37.5557,126.9636,1,2022-12-01
중구,공076보1(손기정로 101_손기정체육공원_봉래초교 정문 옆),37.5557,126.9636,1,2022-12-01
중구,공077(손기정로 101_손기정체육공원 손기정문화체육센터 옆),37.5557,126.9643,1,2022-12-01
중구,공077보1(손기정로 101_손기정체육공원 손기정문화센터 옆),37.5557,126.9643,1,2022-12-01
중구,공078(손기정로 101_손기정체육공원 농구장 앞),37.5552,126.9640,1,2022-12-01
중구,공078보1(손기정로 101_손기정체육공원 농구장 앞),37.5552,126.9640,1,2022-12-01
중구,공079(손기정로 101_손기정체육공원 어린이놀이터 앞),37.5553,126.9645,1,2022-12-01
중구,공079보1(손기정로 101_손기정체육공원 어린이놀이터 앞),37.5553,126.9645,1,2022-12-01
중구,공080(손기정로 101_손기정체육공원  테니스장 앞),37.5556,126.9650,1,2022-12-01
중구,공080보1(손기정로 101_손기정체육공원 테니스장 앞),37.5556,126.9650,1,2022-12-01
중구,공081(손기정로 101_손기정체육공원 손기정기념관 옆),37.5559,126.9651,1,2022-12-01
중구,공081보1(손기정로 101_손기정체육공원 손기정기념관 옆),37.5559,126.9651,1,2022-12-01
중구,공082(손기정로 101_손기정체육공원 축구장 우측 앞),37.5562,126.9656,1,2022-12-01
중구,공082보1(손기정로 101_손기정체육공원 축구장 우측 앞),37.5562,126.9656,1,2022-12-01
중구,공083(손기정로 101_손기정체육공원 축구장 좌측 앞),37.5559,126.9660,1,2022-12-01
중구,공083보1(손기정로 101_손기정체육공원  축구장 좌측 앞),37.5559,126.9660,1,2022-12-01
중구,공084(손기정로 101_손기정체육공원 러닝러닝센터 앞),37.5568,126.9661,1,2022-12-01
중구,공084보1(손기정로 101_손기정체육공원 러닝러닝센터 앞),37.5568,126.9661,1,2022-12-01
중구,공085(다산로42나길 12 앞,다산동 122-10,다산어린이공원),37.5639,127.0189,1,2022-12-01
중구,공085보1(다산로42나길 12 앞,다산동 122-10,다산어린이공원),37.5639,127.0189,1,2022-12-01
중구,공085보2(다산로42나길 12 앞,다산동 122-10,다산어린이공원),37.5639,127.0189,1,2022-12-01
중구,공086(다산로42나길 12 앞,다산동 122-10,다산어린이공원),37.5639,127.0189,1,2022-12-01
중구,공086보1(다산로42나길 12 앞,다산동 122-10,다산어린이공원),37.5639,127.0189,1,2022-12-01
중구,공086보2(다산로42나길 12 앞,다산동 122-10,다산어린이공원),37.5639,127.0189,1,2022-12-01
중구,공090(훈련원공원01_),37.5677,127.0041,1,2022-12-01
중구,공090보1(훈련원공원01_),37.5677,127.0041,1,2022-12-01
중구,공090보2(훈련원공원01_),37.5677,127.0041,1,2022-12-01
중구,공091(훈련원공원02_),37.5674,127.0033,1,2022-12-01
중구,공091보1(훈련원공원02_),37.5674,127.0033,1,2022-12-01
중구,공091보2(훈련원공원02_),37.5674,127.0033,1,2022-12-01
중구,공092(훈련원공원03_),37.5678,127.0029,1,2022-12-01
중구,공092보1(훈련원공원03_),37.5678,127.0029,1,2022-12-01
중구,공092보2(훈련원공원03_),37.5678,127.0029,1,2022-12-01
중구,공093(수표로 45_을지비즈센터 저동 공원),37.5654,126.9891,1,2022-12-01
중구,공093보1(수표로 45_을지비즈센터 저동 공원),37.5654,126.9891,1,2022-12-01
중구,공093보2(수표로 45_을지비즈센터 저동 공원),37.5654,126.9891,1,2022-12-01
중구,남101(남대문로1길 16,북창동 118,나이아가라 주점 삼거리),37.5618,126.9775,1,2022-12-01
중구,남101보1(남대문로1길 16_북창동_나이아가라주점 삼거리),37.5618,126.9775,1,2022-12-01
중구,남101보2(남대문로1길 16_북창동_나이아가라주점 삼거리),37.5618,126.9775,1,2022-12-01
중구,남101보3(남대문로1길 16_북창동_나이아가라주점 삼거리),37.5618,126.9775,1,2022-12-01
중구,남102(을지로 35,을지로1가 101-1,하나은행 본점 뒤),37.5667,126.9816,1,2022-12-01
중구,남102보1(을지로 35_을지로1가_하나은행 본점 뒤),37.5667,126.9816,1,2022-12-01
중구,남102보2(을지로 35_을지로1가_하나은행 본점 뒤),37.5667,126.9816,1,2022-12-01
중구,남102보3(을지로 35_을지로1가_하나은행 본점 뒤),37.5667,126.9816,1,2022-12-01
중구,남103(소공로 109,소공동 110-1,한화프라자주차장입구, 프라자H뒤,37.5639,126.9779,1,2022-12-01
중구,남103보1(소공로 109_한화금융프라자 주차장입구,프라자호텔 뒤),37.5639,126.9779,1,2022-12-01
중구,남103보2(소공로 109_한화금융프라자 주차장입구 프라자호텔 뒤),37.5639,126.9779,1,2022-12-01
중구,남103보3(소공로 109_한화금융프라자 주차장 입구 프라자호텔 뒤),37.5639,126.9779,1,2022-12-01
중구,남104(다동길 43,다동 70,다동 사거리),37.5680,126.9814,1,2022-12-01
중구,남104보1(다동길43_다동사거리),37.5680,126.9814,1,2022-12-01
중구,남104보2(다동길43_다동사거리),37.5680,126.9814,1,2022-12-01
중구,남104보3(다동길43_다동사거리),37.5680,126.9814,1,2022-12-01
중구,남105(세종대로 74,태평로2가 69-5,삼정빌딩 앞, 버스정류장),37.5627,126.9766,1,2022-12-01
중구,남105보1(세종대로 74_태평로2가_삼정빌딩 앞 버스정류장),37.5627,126.9766,1,2022-12-01
중구,남106(남대문로9길 39,을지로1가 42,부림빌딩 앞),37.5668,126.9799,1,2022-12-01
중구,남106보1(남대문로9길 39_을지로1가_부림빌딩 앞),37.5668,126.9799,1,2022-12-01
중구,남106보2(남대문로9길 39_을지로1가_부림빌딩 앞),37.5668,126.9799,1,2022-12-01
중구,남106보3(남대문로9길 39_을지로1가_부림빌딩 앞),37.5668,126.9799,1,2022-12-01
중구,남107(무교로 32,무교동 1,모전교 앞, 텍사스빠),37.5689,126.9794,1,2022-12-01
중구,남107보1(무교로32_모전교 앞 텍사스바),37.5689,126.9794,1,2022-12-01
중구,남107보2(무교로32_모전교 앞 텍사스바),37.5689,126.9794,1,2022-12-01
중구,남107보3(무교로32_모전교 앞 텍사스바),37.5689,126.9794,1,2022-12-01
중구,남108(남대문로1길 42,북창동 18-9,BOOMERS COFFEE),37.5629,126.9773,1,2022-12-01
중구,남109(다동길 27,다동 53-8,행복한 전집 앞),37.5678,126.9809,1,2022-12-01
중구,남109보1(다동길27_행복한 전집 앞),37.5678,126.9809,1,2022-12-01
중구,남110(무교로 6,을지로1가 16,BNK 부산은행 앞),37.5662,126.9793,1,2022-12-01
중구,남110보1(무교로6_을지로1가_BNK부산은행 앞),37.5662,126.9793,1,2022-12-01
중구,남110보2(무교로6_을지로1가_BNK부산은행 앞),37.5662,126.9793,1,2022-12-01
중구,남110보3(무교로6_을지로1가_BNK부산은행 앞),37.5662,126.9793,1,2022-12-01
중구,남111(세종대로 136,태평로1가 84,파이낸스빌딩 앞, 관광안내센터),37.5690,126.9774,1,2022-12-01
중구,남111보1(세종대로 136_파이낸스빌딩 앞 관광안내센터),37.5690,126.9774,1,2022-12-01
중구,남111보2(세종대로 136_파이낸스빌딩 앞 관광안내센터),37.5690,126.9774,1,2022-12-01
중구,남112(남대문로 73,소공동 7,롯데에비뉴엘 입구),37.5638,126.9819,1,2022-12-01
중구,남112보1(남대문로73_롯데에비뉴엘 입구),37.5638,126.9819,1,2022-12-01
중구,남112보2(남대문로73_롯데에비뉴엘 입구),37.5638,126.9819,1,2022-12-01
중구,남112보3(남대문로73_롯데에비뉴엘 입구),37.5638,126.9819,1,2022-12-01
중구,남113(남대문로 39,남대문로3가 110,북창치안센터 앞),37.5614,126.9791,1,2022-12-01
중구,남113보1(남대문로 39,남대문로3가 110,북창치안센터 앞),37.5614,126.9791,1,2022-12-01
중구,남113보2(남대문로 39,남대문로3가 110,북창치안센터 앞),37.5614,126.9791,1,2022-12-01
중구,남114(남대문로9길 6,다동 155,YG타위 뒤),37.5673,126.9805,1,2022-12-01
중구,남114보1(남대문로9길 6,다동 155,YG타위 뒤),37.5673,126.9805,1,2022-12-01
중구,남114보2(남대문로9길 6,다동 155,YG타위 뒤),37.5673,126.9805,1,2022-12-01
중구,남115(남대문로25-13,북창동 110-2,RED PANDA 앞),37.5619,126.9783,1,2022-12-01
중구,남115보1(남대문로25-13,북창동 110-2,RED PANDA 앞),37.5619,126.9783,1,2022-12-01
중구,남115보2(남대문로25-13,북창동 110-2,RED PANDA 앞),37.5619,126.9783,1,2022-12-01
중구,남115보3(남대문로25-13,북창동 110-2,RED PANDA 앞),37.5619,126.9783,1,2022-12-01
중구,남115보4(남대문로25-13,북창동 110-2,RED PANDA 앞),37.5619,126.9783,1,2022-12-01
중구,남202(퇴계로 24,남대문로5가 267-4,SK남산그린빌딩 앞,육교앞),37.5571,126.9758,1,2022-12-01
중구,남202보1(퇴계로24,남대문로5가267-4,SK남산그린빌딩 앞,육교앞),37.5571,126.9758,1,2022-12-01
중구,남202보2(퇴계로24,남대문로5가267-4,SK남산그린빌딩 앞,육교앞),37.5571,126.9758,1,2022-12-01
중구,남203(세종대로2길 7,남대문로5가 12-16,원당감자탕 삼거리),37.5576,126.9740,1,2022-12-01
중구,남203보1(세종대로2길 7_원당감자탕 삼거리 연세빌딩 뒤),37.5576,126.9740,1,2022-12-01
중구,남203보2(세종대로2길 7,남대문로5가 12-16,원당감자탕 삼거리),37.5576,126.9740,1,2022-12-01
중구,남204(청파로 426,봉래동2가 122,서울역 구역사 앞 광장),37.5557,126.9720,1,2022-12-01
중구,남204보1(청파로 426,봉래동2가 122,서울역 구역사 앞 광장),37.5557,126.9720,1,2022-12-01
중구,남204보2(청파로 426,봉래동2가 122,서울역 구역사 앞 광장),37.5557,126.9720,1,2022-12-01
중구,남205(통일로 21,봉래동2가 123번지,서울 역전우체국 앞),37.5575,126.9715,1,2022-12-01
중구,남205보1(통일로 21,봉래동2가 123번지,서울 역전우체국 앞),37.5575,126.9715,1,2022-12-01
중구,남206(세종대로 30,남대문로5가 21-1,레벤호프옆, 남대문소공원옆),37.5590,126.9753,1,2022-12-01
중구,남206보1(세종대로30,남대문로5가21-1,레벤호프옆, 남대문소공원옆),37.5590,126.9753,1,2022-12-01
중구,남206보2(세종대로30,남대문로5가21-1,레벤호프옆, 남대문소공원옆),37.5590,126.9753,1,2022-12-01
