,Unnamed: 0.1,Unnamed: 0,개방자치단체코드,관리번호,영업상태명,소재지면적,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
45,45,45,3010000,3010000-102-1999-12427,영업/정상,94,서울특별시 중구 다동 58-1 지하1층 ,서울특별시 중구 다동길 33, 지하1층 (다동),4521,2021-05-30 02:40:00,198264.7839,451746.9218,126.9782567,37.56800581
46,46,46,3010000,3010000-102-2000-12561,영업/정상,110.13,서울특별시 중구 남창동 169-4번지 지하1층 ,서울특별시 중구 퇴계로 38 (남창동,지하1층),4635,2018-08-31 23:59:59,197913.8141,450584.5475,126.9742874,37.5575322
47,47,47,3010000,3010000-102-2000-12602,영업/정상,48.92,서울특별시 중구 을지로3가 296-2번지 지하1층 ,서울특별시 중구 충무로 49-1 (을지로3가, 지하1층),4550,2018-08-31 23:59:59,199269.5279,451465.0422,126.9896298,37.56546752
48,48,48,3010000,3010000-102-2000-12640,영업/정상,56.4,서울특별시 중구 수표동 62-4번지 ,서울특별시 중구 청계천로 106 (수표동),4542,귀빈,룸살롱,198984.5044,451729.0974,126.9864033,37.56784634
49,49,49,3010000,3010000-102-2000-12712,영업/정상,99,서울특별시 중구 서소문동 89-0번지 ,서울특별시 중구 서소문로 128-3 (서소문동),4514,Bugs,룸살롱,197770.9203,451225.8832,126.9726682,37.56331022
50,50,50,3010000,3010000-102-2000-12758,영업/정상,87.88,서울특별시 중구 북창동 10-4번지 지하1층 ,서울특별시 중구 남대문로5길 47, 지하1층 (북창동),4526,2018-08-31 23:59:59,198044.6654,451236.6347,126.9757666,37.56340773
51,51,51,3010000,3010000-102-2000-12854,영업/정상,269.36,서울특별시 중구 다동 88-0 지하15호,서울특별시 중구 남대문로 117 (다동,지하15호),4522,2021-12-08 00:03:00,198367.639,451720.218,126.979421,37.56776541
52,52,52,3010000,3010000-102-2000-12874,영업/정상,95,서울특별시 중구 북창동 19-6 지상 2~3층,서울특별시 중구 세종대로14길 6-3 (북창동,지상 2~3층),4526,2022-12-04 22:05:00,197911.0953,451167.0272,126.9742549,37.56278027
53,53,53,3010000,3010000-102-2000-12895,영업/정상,48.71,서울특별시 중구 주교동 122-4 2층,서울특별시 중구 창경궁로8길 2-1 (주교동, 2층),4546,2021-10-31 00:06:00,199778.4621,451792.7299,126.9953902,37.56842025
54,54,54,3010000,3010000-102-2000-12940,영업/정상,91.26,서울특별시 중구 태평로1가 31-19번지 ,서울특별시 중구 무교로 17-25 (태평로1가),4520,체스,룸살롱,198035.465,451682.9081,126.9756612,37.56742858
55,55,55,3010000,3010000-102-2000-12949,영업/정상,82.97,서울특별시 중구 저동2가 76-6,서울특별시 중구 수표로 43 (저동2가),4551,또또와,룸살롱,199025.8253,451419.1703,126.9868715,37.56505398
56,56,56,3010000,3010000-102-2000-13054,영업/정상,73.6,서울특별시 중구 태평로2가 330-2번지 ,서울특별시 중구 서소문로 136 (태평로2가),4514,국민 노래밤,룸살롱,197821.0571,451248.7754,126.9732356,37.5635166
57,57,57,3010000,3010000-102-2000-13204,영업/정상,87.28,서울특별시 중구 광희동1가 187-2번지 ,서울특별시 중구 을지로44길 23 (광희동1가),4561,골드,룸살롱,200511.77,451411.7254,127.0036905,37.56498738
58,58,58,3010000,3010000-102-2000-13232,영업/정상,63,서울특별시 중구 신당동 247-14번지 ,서울특별시 중구 퇴계로 386-1 (신당동),4611,궁,룸살롱,201204.1147,451408.5865,127.0115269,37.5649585
59,59,59,3010000,3010000-102-2000-13343,영업/정상,98.95,서울특별시 중구 을지로3가 348-7 2층,서울특별시 중구 수표로 52-1 (을지로3가),4550,딸기노래짱,스텐드바,199046.1362,451509.6373,126.9871013,37.5658691
60,60,60,3010000,3010000-102-2000-13382,영업/정상,93.09,서울특별시 중구 을지로4가 316-1,서울특별시 중구 을지로20길 10-4 (을지로4가),4549,샤넬노래바,룸살롱,199500.4199,451531.4918,126.9922432,37.5660664
61,61,61,3010000,3010000-102-2000-13383,영업/정상,48.9,서울특별시 중구 중림동 69-8 지하1층,서울특별시 중구 청파로 437-1 (중림동,지하1층),4507,2021-11-01 00:06:00,197192.8104,450712.2255,126.9661269,37.5586806
62,62,62,3010000,3010000-102-2001-13411,영업/정상,84,서울특별시 중구 충무로4가 149-3번지 ,서울특별시 중구 충무로2길 20 (충무로4가),4557,모델비지니스클럽,룸살롱,199420.5863,451122.4438,126.9913399,37.56238087
63,63,63,3010000,3010000-102-2001-13506,영업/정상,122.69,서울특별시 중구 북창동 42-3번지 (2~3층) ,서울특별시 중구 남대문로1길 60 (북창동,(2~3층)),4526,2019-02-21 02:40:00,197968.205,451266.0076,126.9749011,37.5636722
64,64,64,3010000,3010000-102-2001-13565,영업/정상,96.85,서울특별시 중구 충무로2가 51-1번지 ,서울특별시 중구 삼일대로4길 14 (충무로2가),4553,보스,비어(바)살롱,199046.7949,451066.0381,126.9871093,37.56187232
65,65,65,3010000,3010000-102-2001-13579,영업/정상,118,서울특별시 중구 광희동1가 187-1,서울특별시 중구 을지로44길 19 (광희동1가),4561,앵콜,룸살롱,200512.2471,451433.391,127.0036959,37.56518259
66,66,66,3010000,3010000-102-2001-13660,영업/정상,82.3,서울특별시 중구 무학동 11-2 지하1층 ,서울특별시 중구 퇴계로 398 (무학동, 지하1층),4611,2021-11-20 02:40:00,201325.3842,451418.2186,127.0128995,37.56504513
