,개방자치단체코드,관리번호,영업상태명,소재지면적,소재지우편번호,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
71,3010000,3010000-201-2000-00243,영업/정상,206.05,100855,서울특별시 중구 장충동2가 69번지 ,서울특별시 중구 퇴계로56가길 7 (장충동2가),신도여관,여관업,200388.0396,451045.3006,127.0022898,37.56168599
72,3010000,3010000-201-2000-00244,영업/정상,40,100855,서울특별시 중구 장충동2가 38-1번지 ,서울특별시 중구 동호로30길 33 (장충동2가),웰빙텔,여관업,200360.9717,450990.2077,127.0019834,37.56118961
73,3010000,3010000-201-2001-00003,영업/정상,186.01,100411,서울특별시 중구 광희동1가 153번지 ,서울특별시 중구 을지로44길 24-6 (광희동1가),왕도여관,여관업,200468.6485,451445.1593,127.0032024,37.56528864
74,3010000,3010000-201-2001-00004,영업/정상,245.95,100420,서울특별시 중구 무학동 59-2번지 ,서울특별시 중구 퇴계로74길 25 (무학동),탑모텔,여관업,201219.1739,451303.6999,127.0116972,37.56401347
75,3010000,3010000-201-2001-00006,영업/정상,60,100411,서울특별시 중구 광희동1가 112-3번지 ,서울특별시 중구 을지로40길 21-38 (광희동1가),정온여관,여관업,200418.3015,451456.4775,127.0026325,37.56539063
76,3010000,3010000-201-2001-00008,영업/정상,253,100411,서울특별시 중구 광희동1가 1-4번지 ,서울특별시 중구 동호로34길 15 (광희동1가),화신여관,여관업,200237.2853,451450.6863,127.0005837,37.56533851
77,3010000,3010000-201-2001-00009,영업/정상,212.66,100806,서울특별시 중구 남창동 168-5번지 ,서울특별시 중구 퇴계로4길 9 (남창동),황금장여관,여관업,197965.5102,450592.5219,126.9748725,37.55760416
78,3010000,3010000-201-2001-00012,영업/정상,100,100858,서울특별시 중구 중림동 66번지 ,서울특별시 중구 청파로 441-1 (중림동),우리텔,여인숙업,197173.8601,450729.0691,126.9659124,37.5588323
79,3010000,3010000-201-2001-00013,영업/정상,854.49,100855,서울특별시 중구 장충동2가 7-1번지 ,서울특별시 중구 퇴계로56길 51 (장충동2가),CF 모텔,여관업,200435.424,451035.4662,127.0028261,37.56159736
80,3010000,3010000-201-2001-00016,영업/정상,151.8,100800,서울특별시 중구 남대문로5가 63-4번지 ,서울특별시 중구 통일로 22-10 (남대문로5가),테마모텔,여관업,197506.0139,450627.9684,126.969672,37.55792237
