개방자치단체코드,관리번호,영업상태명,소재지면적,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),,,,,,,
3010000,3010000-102-1978-02546,폐업,65.04,서울특별시 중구 태평로1가 29-2,서울특별시 중구 세종대로22길 12, 2층 (태평로1가),4520,04:00.0,룸살롱,197984.6447,,,,,,,
3010000,3010000-102-1978-02547,폐업,361.7,서울특별시 중구 태평로1가 29-2,서울특별시 중구 세종대로22길 12, 2층 (태평로1가),4520,05:00.0,룸살롱,197984.6447,,,,,,,
3010000,3010000-102-1978-02590,폐업,133.7,서울특별시 중구 무학동 22-3번지 ,,,미래,스텐드바,,,,,,,,,
3010000,3010000-102-1978-02627,폐업,0,서울특별시 중구 흥인동 261-2번지 ,,,에버그린,극장식당,,,,,,,,,
3010000,3010000-102-1978-02676,폐업,298.9,서울특별시 중구 회현동1가 92-6번지 ,,,(주)파레스라이프코퍼레이션,고고(디스코)클럽,198164.2584,450703.5993,,,,,,,
3010000,3010000-102-1979-02455,폐업,373.34,서울특별시 중구 주교동 150-0번지 ,,,미가도,룸살롱,,,,,,,,,
3010000,3010000-102-1979-02637,폐업,394.52,서울특별시 중구 중림동 125-0번지 ,,,초원의집,극장식당,197105.005,450686.1594,,,,,,,
3010000,3010000-102-1979-02662,폐업,953.8,서울특별시 중구 충무로2가 60-3번지 지하1층 ,,,서울크럽,룸살롱,198911.8064,451032.3161,,,,,,,
3010000,3010000-102-1979-02678,폐업,402.92,서울특별시 중구 중림동 125-0번지 ,,,초원의집,카바레,197105.005,450686.1594,,,,,,,
3010000,3010000-102-1980-02545,폐업,72.71,서울특별시 중구 을지로1가 188-3번지 백남   16동   16호,,,프레지던트호텔개나리바,비어(바)살롱,198113.3707,451483.3,,,,,,,
3010000,3010000-102-1980-02587,폐업,110.88,서울특별시 중구 장충동1가 62-35번지 ,,,주호,스텐드바,200478.4265,450822.6102,,,,,,,
3010000,3010000-102-1980-02651,폐업,582.84,서울특별시 중구 장충동2가 202-0번지 ,,,더포인트(THE POINTE),관광호텔나이트(디스코),200463.6253,450497.4609,,,,,,,
3010000,3010000-102-1980-02659,폐업,149.8,서울특별시 중구 충무로2가 65-5번지 ,,,따봉,관광호텔나이트(디스코),198670.8464,451001.1879,,,,,,,
3010000,3010000-102-1981-02481,폐업,545.68,서울특별시 중구 무교동 95-0번지 ,,,매니아,룸살롱,198124.2041,451706.5939,,,,,,,
3010000,3010000-102-1981-02577,폐업,62.53,서울특별시 중구 북창동 42-3번지 지하1층 ,서울특별시 중구 남대문로1길 60, 지하1층 (북창동),4526,59:59.0,스텐드바,197968.205,,,,,,,
3010000,3010000-102-1981-02636,폐업,237.64,서울특별시 중구 의주로2가 312-0번지 ,,,명동칼국수,극장식당,,,,,,,,,
3010000,3010000-102-1982-02515,폐업,126.09,서울특별시 중구 북창동 75-0번지 ,,,토크쇼,룸살롱,197975.612,451144.3217,,,,,,,
3010000,3010000-102-1982-02548,영업/정상,108.3,서울특별시 중구 초동 21-2번지 ,서울특별시 중구 을지로14길 30 (초동),4550,축제,비어(바)살롱,199226.8476,451398.6012,,,,,,,
3010000,3010000-102-1982-02570,폐업,153.15,서울특별시 중구 북창동 18-12번지 ,,,뉴욕뉴욕,비어(바)살롱,197963.3562,451187.6802,,,,,,,
3010000,3010000-102-1982-02597,폐업,393.1,서울특별시 중구 무교동 31-0번지 ,,,향진,극장식당,198063.7058,451683.8162,,,,,,,
3010000,3010000-102-1983-02460,폐업,132.38,서울특별시 중구 중림동 45-4번지 ,,,승리,룸살롱,,,,,,,,,
3010000,3010000-102-1983-02472,폐업,95.35,서울특별시 중구 북창동 11-5번지 ,,,힐탑,룸살롱,198010.6794,451244.6323,,,,,,,
3010000,3010000-102-1983-02503,폐업,398.02,서울특별시 중구 다동 170-1번지 ,,,엔뉴욕성인나이트클럽,룸살롱,198178.212,451722.2396,,,,,,,
3010000,3010000-102-1983-02543,폐업,204.14,서울특별시 중구 다동 32-1번지 ,,,골드,비어(바)살롱,,,,,,,,,
3010000,3010000-102-1983-02549,영업/정상,90.25,서울특별시 중구 남대문로5가 63-7,,,수노래빠,비어(바)살롱,197477.0608,450610.7464,,,,,,,
3010000,3010000-102-1983-02566,폐업,146.98,서울특별시 중구 다동 131-0번지 삼덕빌딩 지하 ,,,빠리,비어(바)살롱,198247.0024,451706.5799,,,,,,,
3010000,3010000-102-1983-02579,폐업,145.5,서울특별시 중구 충무로5가 2-4번지 ,,,밀리내,스텐드바,200072.3797,451239.772,,,,,,,
3010000,3010000-102-1983-02600,폐업,0,서울특별시 중구 만리동2가 213-49번지 ,,,뉴월드호프,극장식당,,,,,,,,,
3010000,3010000-102-1983-02635,폐업,301.5,서울특별시 중구 장충동2가 201-3번지 ,,,타워호텔,극장식당,200169.6146,449793.605,,,,,,,
3010000,3010000-102-1983-02642,폐업,67.91,서울특별시 중구 북창동 136-0번지 ,,,비지니스클럽,극장식당,197959.7815,450999.0984,,,,,,,
3010000,3010000-102-1983-02657,폐업,519.28,서울특별시 중구 소공동 1-0번지 ,,,비스트로,관광호텔나이트(디스코),198259.6536,451392.1982,,,,,,,
3010000,3010000-102-1983-02673,폐업,401.12,서울특별시 중구 광희동1가 145-2번지 ,,,유성,고고(디스코)클럽,200492.5019,451466.2697,,,,,,,
3010000,3010000-102-1983-02682,폐업,862.37,서울특별시 중구 산림동 207-1번지 ,,,아마죤,카바레,199521.2008,451751.4241,,,,,,,
3010000,3010000-102-1984-02474,폐업,428,서울특별시 중구 북창동 104-0번지 ,,,파라다이스,룸살롱,197986.8957,451089.6626,,,,,,,
3010000,3010000-102-1984-02500,폐업,159.47,서울특별시 중구 주교동 18-1번지 ,,,프라자,룸살롱,200007.2188,451862.6467,,,,,,,
3010000,3010000-102-1984-02518,영업/정상,142.28,서울특별시 중구 충무로4가 155-2 ,서울특별시 중구 퇴계로37길 22 (충무로4가),4557,뉴리멤버,룸살롱,199374.9445,451101.6226,,,,,,,
3010000,3010000-102-1984-02527,폐업,90.95,서울특별시 중구 흥인동 62-1번지 ,,,님과벗,비어(바)살롱,201436.8307,451547.2995,,,,,,,
3010000,3010000-102-1984-02528,폐업,265.5,서울특별시 중구 흥인동 66-6번지 ,,,카사,비어(바)살롱,,,,,,,,,
3010000,3010000-102-1984-02529,폐업,110.13,서울특별시 중구 무학동 34-1번지 ,,,파라솔,비어(바)살롱,,,,,,,,,
3010000,3010000-102-1984-02535,폐업,90.88,서울특별시 중구 을지로6가 18-119번지 ,,,금마차,룸살롱,,,,,,,,,
3010000,3010000-102-1984-02591,폐업,153.54,서울특별시 중구 오장동 139-3번지 ,,,영화,스텐드바,200113.2657,451434.0577,,,,,,,
3010000,3010000-102-1984-02598,폐업,130.21,서울특별시 중구 초동 107-4번지 ,,,호림도,스텐드바,199127.7356,451416.7355,,,,,,,
3010000,3010000-102-1984-02630,폐업,47.24,서울특별시 중구 흥인동 66-23번지 ,,,주와,관광호텔나이트(디스코),,,,,,,,,
3010000,3010000-102-1984-02631,폐업,129.4,서울특별시 중구 명동1가 34-1번지 ,,,파라솔,관광호텔나이트(디스코),198586.0229,451347.3162,,,,,,,
3010000,3010000-102-1984-02646,폐업,296.9,서울특별시 중구 광희동1가 142-2번지 ,,,신유성캬바레,고고(디스코)클럽,,,,,,,,,
3010000,3010000-102-1984-02677,폐업,630.28,서울특별시 중구 남대문로5가 395-0번지 ,,,아레노,고고(디스코)클럽,197762.5015,450337.5806,,,,,,,
3010000,3010000-102-1985-02420,폐업,17.26,서울특별시 중구 황학동 637-0번지 ,,,선,간이주점,201822.2931,451639.8325,,,,,,,
3010000,3010000-102-1985-02423,폐업,17.18,서울특별시 중구 의주로2가 4-0번지 ,,,람보치킨,간이주점,,,,,,,,,
3010000,3010000-102-1985-02437,폐업,43.02,서울특별시 중구 황학동 371-3번지 ,,,정원,간이주점,201593.5855,451590.5667,,,,,,,
3010000,3010000-102-1985-02438,폐업,19.87,서울특별시 중구 황학동 366-0번지 ,,,남촌,간이주점,201634.184,451597.0966,,,,,,,
3010000,3010000-102-1985-02439,폐업,20.67,서울특별시 중구 황학동 366-0번지 ,,,유성,간이주점,201634.184,451597.0966,,,,,,,
3010000,3010000-102-1985-02440,폐업,22.12,서울특별시 중구 황학동 366-0번지 ,,,미인파티,간이주점,201634.184,451597.0966,,,,,,,
3010000,3010000-102-1985-02441,영업/정상,16.71,서울특별시 중구 황학동 371-47번지 ,서울특별시 중구 퇴계로83길 22-10 (황학동),4576,장미,간이주점,201607.8078,451587.0131,,,,,,,
3010000,3010000-102-1985-02442,폐업,13.62,서울특별시 중구 황학동 371-47번지 ,,,자매집,카바레,201607.8078,451587.0131,,,,,,,
3010000,3010000-102-1985-02443,폐업,10.97,서울특별시 중구 황학동 371-47번지 ,,,꽃집,간이주점,201607.8078,451587.0131,,,,,,,
3010000,3010000-102-1985-02444,폐업,21.22,서울특별시 중구 황학동 371-47번지 ,,,수원집,간이주점,201607.8078,451587.0131,,,,,,,
3010000,3010000-102-1985-02445,폐업,29.57,서울특별시 중구 중림동 69-9번지 ,,,형제,간이주점,197194.8567,450706.0374,,,,,,,
3010000,3010000-102-1985-02446,폐업,29.07,서울특별시 중구 흥인동 7-0번지 ,,,말괄량이,간이주점,,,,,,,,,
3010000,3010000-102-1985-02447,폐업,31.98,서울특별시 중구 광희동1가 289-0번지 ,,,아그네스,간이주점,200253.3577,451423.7672,,,,,,,
3010000,3010000-102-1985-02448,폐업,32.68,서울특별시 중구 광희동1가 289-0번지 ,,,길,간이주점,200253.3577,451423.7672,,,,,,,
3010000,3010000-102-1985-02450,폐업,29.64,서울특별시 중구 의주로2가 21-29번지 ,,,팔도부촌,간이주점,,,,,,,,,
3010000,3010000-102-1985-02451,폐업,29.15,서울특별시 중구 북창동 66-0번지 ,,,초심,간이주점,197967.2181,451154.2831,,,,,,,
3010000,3010000-102-1985-02452,폐업,41.71,서울특별시 중구 북창동 13-3번지 ,,,영시,간이주점,,,,,,,,,
3010000,3010000-102-1985-02453,폐업,16.93,서울특별시 중구 황학동 371-39번지 ,,,국악의집,간이주점,,,,,,,,,
3010000,3010000-102-1985-02456,폐업,181.2,서울특별시 중구 회현동3가 10번지 ,서울특별시 중구 퇴계로14길 1, 지하1층 (회현동3가),4631,59:59.0,카바레,198491.235,,,,,,,
3010000,3010000-102-1985-02458,폐업,135.6,서울특별시 중구 북창동 63-0번지 ,,,백악관,룸살롱,197963.4802,451166.9203,,,,,,,
3010000,3010000-102-1985-02462,폐업,448.56,서울특별시 중구 중림동 53-1번지 ,,,스타월드,룸살롱,,,,,,,,,
3010000,3010000-102-1985-02465,폐업,35.23,서울특별시 중구 수표동 56-14번지 ,,,호수,요정,198933.3682,451641.1434,,,,,,,
3010000,3010000-102-1985-02469,폐업,10,서울특별시 중구 북창동 5-2번지 ,,,남강,요정,198046.6887,451252.8001,,,,,,,
3010000,3010000-102-1985-02470,폐업,29.47,서울특별시 중구 황학동 536-0번지 ,,,가야,간이주점,201776.489,451707.7199,,,,,,,
3010000,3010000-102-1985-02473,폐업,75.63,서울특별시 중구 북창동 122-0번지 ,,,센세이션,룸살롱,197959.8106,451024.3296,,,,,,,
3010000,3010000-102-1985-02482,폐업,98.5,서울특별시 중구 명동2가 89번지 지하1층 ,서울특별시 중구 명동2길 8, 지하1층 (명동2가),4535,40:00.0,룸살롱,198371.0399,,,,,,,
3010000,3010000-102-1985-02484,영업/정상,69,서울특별시 중구 황학동 629-0 ,,,못잊어,룸살롱,201767.0854,451555.4778,,,,,,,
3010000,3010000-102-1985-02497,폐업,102.35,서울특별시 중구 북창동 17-3번지 지상2~3층 ,,,발리노래세상,룸살롱,197978.6204,451212.335,,,,,,,
3010000,3010000-102-1985-02499,영업/정상,94.31,서울특별시 중구 필동1가 10-9번지 ,,,충무노래크럽,룸살롱,199213.2817,451032.5659,,,,,,,
3010000,3010000-102-1985-02506,폐업,40.77,서울특별시 중구 북창동 99-2번지 ,,,썬,룸살롱,197947.5965,451081.9042,,,,,,,
3010000,3010000-102-1985-02508,폐업,95.2,서울특별시 중구 북창동 111-2번지 ,,,베이스캠프,룸살롱,197975.5428,451036.1263,,,,,,,
3010000,3010000-102-1985-02521,폐업,81.6,서울특별시 중구 북창동 17-1번지 ,,,쌈바쌈바,룸살롱,197996.3032,451214.9404,,,,,,,
3010000,3010000-102-1985-02526,폐업,38.13,서울특별시 중구 만리동1가 206-37번지 ,,,초연,비어(바)살롱,,,,,,,,,
3010000,3010000-102-1985-02538,폐업,29.64,서울특별시 중구 을지로6가 21-29번지 ,,,팔도부촌,비어(바)살롱,,,,,,,,,
3010000,3010000-102-1985-02539,폐업,98.87,서울특별시 중구 신당동 247-16번지 ,,,고원,비어(바)살롱,201194.7157,451400.4684,,,,,,,
3010000,3010000-102-1985-02540,폐업,156.52,서울특별시 중구 초동 21-1번지 ,,,예가,비어(바)살롱,199220.3243,451420.4332,,,,,,,
3010000,3010000-102-1985-02541,폐업,120.76,서울특별시 중구 만리동2가 22-2번지 ,,,서울.서울,비어(바)살롱,196888.3879,450237.0294,,,,,,,
3010000,3010000-102-1985-02555,폐업,413.42,서울특별시 중구 북창동 12-1번지 ,,,보물섬,비어(바)살롱,198018.6799,451207.7298,,,,,,,
3010000,3010000-102-1985-02557,폐업,160.83,서울특별시 중구 을지로7가 112-1번지 ,,,해양,비어(바)살롱,,,,,,,,,
3010000,3010000-102-1985-02560,폐업,130.56,서울특별시 중구 황학동 1205-0번지 ,서울특별시 중구 마장로 89 (황학동),4574,미터스유,스텐드바,201682.7148,451801.2081,,,,,,,
3010000,3010000-102-1985-02562,폐업,114.71,서울특별시 중구 흥인동 122-0번지 ,,,일이삼스텐드바,스텐드바,,,,,,,,,
3010000,3010000-102-1985-02567,영업/정상,86.25,서울특별시 중구 충무로3가 30-14 ,서울특별시 중구 충무로 21-3 (충무로3가),4555,휘,비어(바)살롱,199282.2568,451198.8262,,,,,,,
3010000,3010000-102-1985-02573,폐업,109.17,서울특별시 중구 을지로2가 199-33번지 ,,,메트로덴버클럽,비어(바)살롱,198492.8019,451427.349,,,,,,,
3010000,3010000-102-1985-02582,영업/정상,51.29,서울특별시 중구 신당동 100-7번지 1층 ,서울특별시 중구 퇴계로78길 6 (신당동, 1층),4577,40:00.0,201409.5386,451421.1355,,,,,,,
3010000,3010000-102-1985-02588,영업/정상,19.5,서울특별시 중구 방산동 70-4번지 ,서울특별시 중구 동호로 386 (방산동),4562,재희,스텐드바,200139.5047,451844.3507,,,,,,,
