,Unnamed: 0,노드링크 유형,노드 WKT,노드 ID,노드 유형 코드,링크 WKT,링크 ID,링크 유형 코드,시작노드 ID,종료노드 ID,링크 길이,시군구코드,시군구명,읍면동코드,읍면동명,고가도로,지하철네트워크,교량,터널,육교,횡단보도,"공원,녹지",건물내,행정동코드,CCTV_100m,숙박업소_100m,유흥업소_100m,경찰서_500m,비아파트_25m,취약계층_평균(생활인구),CCTV_100m_std,숙박업소_100m_std,유흥업소_100m_std,경찰서_500m_std,비아파트_25m_std,취약계층_평균(생활인구)_std,범죄종합점수,geometry,수요충족여부
33,33,NODE,POINT(127.01035407397114 37.557821139306995),8346,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,0,0,0,1,0,871.0517579,0,0,0,0.25,0,0.577369307,0.040075413,POINT (127.01035407397114 37.557821139306995),0
34,34,NODE,POINT(127.01880502575648 37.56102399161784),9285,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,1,0,0,0,0,871.0517579,0.1,0,0,0,0,0.577369307,0.090175413,POINT (127.01880502575648 37.56102399161784),0
35,35,NODE,POINT(127.00888893123236 37.56582997481084),8164,0,,0,,,,,1114000000,중구,1114014900,을지로7가,,,,,0,0,,,11140590,3,0,0,2,4,938.6870317,0.3,0,0,0.5,0.133333333,0.64840197,0.006913266,POINT (127.00888893123236 37.56582997481084),0
36,36,NODE,POINT(127.02123790504184 37.56884806412891),127439,0,,0,,,,,1114000000,중구,1114016500,황학동,,,,,0,0,,,11140670,1,1,0,0,2,575.0203519,0.1,0.066666667,0,0,0.066666667,0.266467939,0.059233082,POINT (127.02123790504184 37.56884806412891),0
37,37,NODE,POINT(127.02050709077152 37.56165534300053),9265,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,2,0,0,0,0,871.0517579,0.2,0,0,0,0,0.577369307,0.082775413,POINT (127.02050709077152 37.56165534300053),1
38,38,NODE,POINT(126.96274322771538 37.558116636803476),9625,0,,0,,,,,1114000000,중구,1114017100,중림동,,,,,0,0,,,11140680,2,0,0,1,0,321.2971885,0.2,0,0,0.25,0,0,-0.0723,POINT (126.96274322771538 37.558116636803476),1
39,39,NODE,POINT(127.01671641973165 37.56722851232705),9251,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615,1,1,1,1,12,871.0517579,0.1,0.066666667,0.047619048,0.25,0.4,0.577369307,0.151561127,POINT (127.01671641973165 37.56722851232705),1
40,40,NODE,POINT(127.00986268370987 37.5592057437335),8360,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,2,2,0,1,4,871.0517579,0.2,0.133333333,0,0.25,0.133333333,0.577369307,0.068475413,POINT (127.00986268370987 37.5592057437335),1
41,41,NODE,POINT(127.01687167429712 37.56723535583028),9250,0,,0,,,,,1114000000,중구,1114016300,흥인동,,,,,0,0,,,11140615,1,1,0,1,13,871.0517579,0.1,0.066666667,0,0.25,0.433333333,0.577369307,0.14924208,POINT (127.01687167429712 37.56723535583028),1
42,42,NODE,POINT(127.01808636455324 37.56120260937494),9280,0,,0,,,,,1114000000,중구,1114016200,신당동,,,,,0,0,,,11140615,0,0,0,0,0,871.0517579,0,0,0,0,0,0.577369307,0.097575413,POINT (127.01808636455324 37.56120260937494),0
